pdb,averaged_indentity
4-5tlk_B_A_X,1.0
7-5w9h_H_I_G,1.0
10-7bwj_H_L_E,1.0
18-5tlk_D_C_X,1.0
17-7che_A_B_R,1.0
8-5tlj_B_A_X,1.0
13-8ds5_C_B_A,1.0
5-5tlj_D_C_X,0.9416666666666667
12-5w9h_B_C_A,1.0
2-7chf_H_L_R,0.9604938271604937
11-7d6i_B_C_A,1.0
1-7chf_A_B_R,1.0
0-5xku_C_B_A,1.0
16-5tlk_H_G_Y,1.0
6-5tlk_F_E_Y,1.0
15-5w9h_E_F_D,1.0
9-5tl5_H_L_A,1.0
3-7che_H_L_R,1.0
14-7chb_H_L_R,1.0
